	Availability in Days	Average In Office Wait in Hours and Minutes
Abilene	CDL Drive Test	10	00:08
	Non CDL Drive Test	41	00:00
	Original	34	00:04
	Renewal/Replacement	2	00:14
Alice	CDL Renewal	0	00:00
	Non CDL Drive Test	1	00:00
	Original	1	00:00
	Renewal/Replacement	0	00:00
Alpine	Non CDL Drive Test	2	*
	Original	1	00:05
	Renewal/Replacement	0	00:00
Amarillo	CDL Drive Test	9	00:00
	CDL Renewal	4	00:00
	Non CDL Drive Test	8	00:27
	Original	7	00:03
	Renewal/Replacement	4	00:07
Andrews	CDL Renewal	2	*
	Non CDL Drive Test	3	00:00
	Original	4	00:00
	Renewal/Replacement	1	00:00
Angleton	CDL Drive Test	9	00:00
	CDL Renewal	1	00:17
	Non CDL Drive Test	11	00:00
	Original	2	00:13
	Renewal/Replacement	5	00:09
Anson	Original	18	04:06
	Renewal/Replacement	6	00:47
Aransas Pass	CDL Renewal	1	00:07
	Non CDL Drive Test	4	00:08
	Original	2	00:27
	Renewal/Replacement	1	00:13
Athens	Non CDL Drive Test	69	00:00
	Original	47	00:14
	Renewal/Replacement	11	00:00
Austin Capitol	Original	2	00:13
	Renewal/Replacement	1	00:00
Austin North	CDL Renewal	66	00:15
	Non CDL Drive Test	18	00:08
	Original	33	00:16
	Renewal/Replacement	7	00:16
Austin Northwest	CDL Renewal	5	00:27
	Non CDL Drive Test	40	00:03
	Original	49	00:16
	Renewal/Replacement	5	00:13
Austin South	CDL Renewal	164	00:09
	Non CDL Drive Test	36	00:21
	Original	42	00:20
	Renewal/Replacement	7	00:17
Baird	Renewal/Replacement	21	00:00
Ballinger	Non CDL Drive Test	21	00:00
	Original	37	00:02
	Renewal/Replacement	29	00:00
Bastrop	CDL Renewal	74	00:00
	Non CDL Drive Test	14	00:01
	Original	37	00:02
	Renewal/Replacement	3	00:02
Bay City	Non CDL Drive Test	5	*
	Original	2	00:15
	Renewal/Replacement	1	00:06
Baytown	CDL Renewal	4	*
	Non CDL Drive Test	20	00:08
	Original	4	00:13
	Renewal/Replacement	3	00:09
Beaumont	CDL Renewal	6	00:20
	Non CDL Drive Test	9	00:00
	Original	2	00:11
	Renewal/Replacement	2	00:09
Beeville	CDL Renewal	1	00:00
	Non CDL Drive Test	2	00:04
	Original	4	00:00
